"2024/10/23 3:18:10 ÖS GMT+3","","","","","","","","","",""
"2024/10/23 3:50:16 ÖS GMT+3","Beklenti içinde oldukları için. ","Evet yakın zamanda geçirecek. ","Mavi, beyaz, yeşil, bordo ","İstediğin şeyi istediğin zaman yapabilmek. ","Ölümü çağrıştırıyor. ","Evet. ","Orta boylu, kahverengi saçlı, beyaz tenli, renkli tonlarda giyinmeyi seven bir kız olurdu. ","Pop","Prens. ","Geçmişe. Düzeltmem gereken çok hata var :) "
"2024/10/23 3:54:01 ÖS GMT+3","Süregelen kent sosyolojisi ve makineleşmiş toplum yapısı ","Kontrolsüz olan her şey tehlike arz edebilir.","Bütün renkleri kullanmayı tercih ederim","Toplum normlarını koruyarak ve diğer insanların sınırlarına saygı duyularak kişi tarafından yapılması mümkün eylemler olarak kabul edilir. Ancak bana göre özgürlük kişinin kendini duygusal yönden besleyebildiği bir kişisel alandır.","Tamamen yorum. Olağan gelişmelere göre azalan veya artan, psikoloji ile yönlendirilen bir kavram.","Evet","Dış görünüşünden çok gözlerinin dikkat çekeceği şekilde, güçlü.","Rock","Bilmiyorum.","Geçmiş. Gelecek her zaman yönlendirilebilir. Ki geçmişte de değiştirmek istediğim bir şey olduğundan değil geçmişe duyulan özlem sebebiyle böyle bir tercih yapardım."
"2024/10/23 4:27:24 ÖS GMT+3","Maddiyat","Hayır","toz pembe ve açık mavi","Rahatlık","Geçmişi","Hayır","Kısa saçlı çilli kız","rock","Friends","Geçmiş"
"2024/10/23 5:14:00 ÖS GMT+3","paraları yol fakirler","hayır","siyah","istediğini bi şarta bağlı olmadan yapabilmek","boşluk","evet","uzun ince bedenli siyah yeşil gözlü takım elbiseli bir yaratıl","hiphop yada oldschool rap","rick and morty","geçmiş, daha yaşanabilir geliyor bana"
"2024/10/23 5:17:36 ÖS GMT+3","yaşanılan toplum ve bunun getirdiği ağır yükler.","hayır.","siyah , beyaz","bu ülkedeyken özgürlükten bahsedemem.","bir akış","hayır","saçı ve sakalı uzun orta yaş üstü bir insan","rock","game of thrones","geçmişe gitmek isterdim "
"2024/10/23 5:43:09 ÖS GMT+3","genel anlamda tatmin olamadıkları için. yanlış beklentilere girdikleri için ve belki de hayatın işleme biçimini yanlış anladıkları ve uyum sağlayamadıkları için.","kontrolden çıkması oldukça olası.","mavi,lila,yeşil","basitçe engelsizlik. önünde engel olmadığı sürece özgürsündür.","zaman bana bir süreçten çok mekanı çağrıştırıyor. örneğin 80’lerin istanbul’u ile 2024 istanbul’u aynı mekan değil ve sanki aslında bambaşka yerdeler.","inanmak için kanıt gerek.","kısa siyah saçlı, gotik tarzda makyajı ve kıyafetleri olan bir genç kız","Rock","Dark","Geçmiş. 70’ler hippie akımı, 80’ler harf rock akımı, 90’lar grunge akımı, Victorian dönemi vesaire gibi bazı şeyleri deneyimlemek isterdim. Şimdi her şey daha tatsızlaştı,basitleşti ve renksizleşti bence. Gelecek ilgi çekici olmayacak kadar gri benim için."
"2024/10/23 6:46:26 ÖS GMT+3","Çünkü çoğu insan hayatını bir amaç belirlemeden yaşıyor. Toplum çarklarını yönetmek için değil, o çarkları yönetenlerin isteklerini karşılamak için çabalıyorlar. Üstelik çoğu böyle yaşadığının da farkında değil çünkü toplum tarafından başarı olarak görülen bir şey yaptıklarında (evlenmek, çocuk yapmak vb.) bu onların geçici bir mutluluk hissine kapılmasını sağlıyor.","Bu soru nasıl ele alındığına göre farklı şekillerde cevaplanabilir. Yapay zeka belki bizi dünyadan silip dünyayı ele geçiremeyecek ama bizi değiştirecek, muhtemelen yaratıcılığı öldürecek ve insanın düşünmesini anlamsızlaştıracak. Bu durumda insan beyni yavaş yavaş düşünme etkinliğini yitirecek. İnsanı insan yapan en önemli şey düşünme yeteneği olduğundan bence yapay zeka insanın bu yeteneğini kısıtlayarak dünyayı ele geçirecek.","Resmin niteliğine ve resmi çizerkenki ruh hâlime göre çok değişken cevaplar verebilirim fakat siyah ve beyaz renklerini sevdiğimden muhtemelen bu iki renge ağırlık verirdim.","Alınan her nefesin huzur vermesidir.","Zaman bana bir döngüyü, hiçliği ve değersizliği çağrıştırıyor. Belki de evren ve zaman karşısında bizler kendimize olduğumuzdan çok daha büyük değerler veriyoruz. Bir düşünce, şu koskoca evren ve uçsuz bucaksız zaman karşısında bence bir toz zerresi kadar bile değerimiz yok. Fakat benlik hissimiz bizim hayata hep ben merkezli bakmamızı sağlıyor, kendimizi evrenin merkezi, olarak görürsek ne zamanın ne de evrenin büyüklüğünün bir anlamı kalıyor, evrendeki tek değerli şey biz oluyoruz ve zaman sadece bizim var olmamız için var olmuş oluyor.","Evet, inanıyorum.","Karakteri hangi amaçla çizeceğime göre bu soru çok değişkenlik gösterebilir, bu nedenle bu soruya kesin bir yanıt veremem.","Rock müzik sevdiğimden o tarzda olurdu.","Şu ana kadar beni bu denli etkileyen bir dizi izlemedim, ama eğer bir kitapta hangi karakter olmak istediğim sorulsaydı Alexandre Dumas'ın ""Üç Silahşorlar kitabında Athos karakteri olmak isterdim.","Kim olarak ve ne için gideceğime göre değişirdi ama eğer günümüzdeki bazı kötü şeyleri değiştirme şansım olacaksa geçmişe gitmek isterdim."
"2024/10/23 7:38:05 ÖS GMT+3","Ekonomik zorluklar bunun en temel nedeni","Kesinlikle gelişen yapay zeka gelecekte insanların iş gücünü ortadan kaldıracak","Kırmızı mavi","Hiçbir şeye bağlı olmamak","Doğru zamanı doğru kullanmak","Evet","","Pop","Medcezir","Geçmişe çünkü eskiden daha yaşanıla bilir bir hayat vardı"
"2024/10/23 8:08:46 ÖS GMT+3","Çünkü insanlar istediğini yapacak ekonomik özgürlüğe veya zamana sahip değiller hep bir şeyler yapmaya mecburlar ","Geçiremez","Bordo mavi ","Özgürlük insanın istediğini istediği an istediği şekilde başkalarının özgürlüğünü kısıtlamaycak şekilde yapabilmeleridir","Tükenmek","Bilmiyorum","Güçlü kuvvetli","Karışık","Prison break","Geçmişe çünkü eskiler güzeldi anıları tekrar yaşamak isterdim"
"2024/10/23 9:17:04 ÖS GMT+3","Istediklerine erisemedikleri icin","Evet","Sari-kirmizi","Bir kimseye veya yapiya bireyin yaptiklari sonucu hesap verme zorunlulugu olmamasi","Yaslilik","Hayir","Standart bir vatandas gibi gorunurdu","Hip hop","Grand tour","Yakin gecmise gidip bilgimi satardim"
"2024/10/24 8:17:30 ÖS GMT+3","Ekonomik durumlar","Evet","Sarı Mavi","Sınırları olmayan","Hız","Kişiye göre ","Sarışın yakisikli","Pop","Ezel","Geçmişe geleceği görmek korkutucu olabilir"
"2024/10/24 8:23:17 ÖS GMT+3","Herkesin kendine göre bir sebebi olabilir. Ayrıca mutluluk sürekli olan bir şey değil, anlarda saklı. ","Dünyayı ele geçirebilecek özellikler ve yetkiler verilirse olabilir.","Siyah","Yapılmak istenen bir şeyi başkasının sınırlarını ihlal etmeden yapabilmektir.","Ölüm","Biliyorum 🚬🚬","Bir yandan ürkütücü bir yandan güvenilir gözüken; ciddi, açık tenli siyah saç ve sakallı bir erkek karakter","Rock","Börü","Geçmişe gitmek isterdim. Geleceğe zaten gidiyoruz aceleye gerek yok."
"2024/10/24 8:27:04 ÖS GMT+3","Mutluluğu yanlış yerde aradıkları için.","Kısmen","Mavi,yeşil,mor","Zamanı geldiğinde doğru kararı verebilmek","Bitkinlik","Evet","Kahverengi saçlı,mavi gözlü,uzun saçlı bir kız. ","Klasik","The witcher","Geçmişe"
"2024/10/24 8:31:10 ÖS GMT+3","Ekonomik problemler ve ülkedeki güvenlik problemi","Hayır","Siyah beyaz","Başka insanların hayatlarına müdahalede bulunmadan isteklerimizi gerçekleştirerek","Uçsuz bucaksız deniz","Hayır","Güçlü kadın bir karakter çizerdim","alternatif rock","Deha dizisi","Kararsızım her ikisininde ayrı bir cazibesi var diyelim "
"2024/10/24 8:31:32 ÖS GMT+3","Ekonomik sebepler, gelecek kaygısı (Türkiye için)","Her şeyin yapay zekayla beraber kullanıldığı bir dünyada herhangi bir sebeple yapay zeka kötülüğe meylederse ele geçirebilir.","Mavi, yeşil, sarı","Bireylerin bir başka bireyin sınırlarını aşmadan toplum içinde istediği gibi yaşayabilmesi. (Burada bireyin sınırlarını evrensel ahlak çerçevesi içinde değerlendirirsek)","Hiçlik - Varoluş - Hiçlik","Bilimsel olarak aşk hormonlar, seçilim, rekabettir esasında ancak bazı şeylere bilim açısından bakmak yerine bilimötesinden bakmak insanı hoşnut edebilir. Bu çerçevede evet aşka inanıyorum.","Erkek olarak çizeceksem yakışıklı, kaslı ve uzun (superman fenotipi); kadın olarak çizeceksem güzel, fit, ortalama boylarda çizerdim.","Alternatif rock.","Derdin tasanın olmadığı bir sitcom'da olmayı yeğlerdim. HIMYM, Friends, The Big Bang Theory","Geçmiş geçmişte kaldı, teknolojinin ve insanlığın gelişiminin tam potansiyelini görmek için geleceğe, çok geleceğe giderdim."
"2024/10/24 8:31:58 ÖS GMT+3","Ellerindekiyle mutlu olmayı bilmedikleri için. Buna ben de dahil.","Şuanki haliyle hayır. Ancak daha ileriki seviyelerde dünyayı ele geçirme seviyesine gelmese de insanlara zarar verecek seviyelere geleceğini düşünüyorum.","O an canım ne istiyorsa, herhangi bir renk olabilir.","Kafamızda fazla büyüttüğümüz bir olgu. Gerçek özgürlüğü tadarsak bunun korkutucu olacağından son derece eminim ancak insanların özgürlük kavramı etrafında fazla düşünmeden konuştuklarını düşünüyorum.","Başlangıcını tanımlayamadığım bir yol veya varoluşla birlikte kendiliğinden oluşan bi olgu.","Emin değilim.","Taslak olarak insandan yola çıkardım ancak karakterin iyi yada kötü olmasına göre insanların korkularını ya da sevdikleri şeyleri karakterde gösterirdim.","Rock, Anadolu Rock tarzında ve kesinlikle anlamlı sözlerden oluşurdu.","İçerde olabilir ama çok da ilgilenmiyorum açıkçası","Yaşanmamış bir zamana gidilebileceğini sanmıyorum. O yüzden geçmişi seçerim ayrıca geçmişte yaşamış fikirlerini sevdiğim insanlarla vakit geçirmek yada sıradan insanların o zamanki yaşam tarzını görmek çok hoşuma giderdi"
"2024/10/24 8:38:02 ÖS GMT+3","Ekonomi","Evet","Kırmızı-siyah","İnsanın kendini mutlu hissttiği an","Gelecek ","Evet ","Kısa şişman gözlüklü şapkalı ","Punk rock","HIMYM","Geçmiş"
"2024/10/24 9:03:31 ÖS GMT+3","Çünkü paraları yok ","İmkansız ","Mavi Mor Beyaz ","Özgürlük sadece bir his bir duygudur ","Her şeyin bitebileceğini ","İnanıyorum ","Şık giyimli elit ","Slow pop ","13 Reasons Why ","Geleceğe, çünkü geleceğin şimdiye göre daha iyi olacağına dair umudum var"
"2024/10/24 10:49:43 ÖS GMT+3","Bence insanlar mutluluğu çok büyük ya da spesifik şeylerde arıyor aslında gün içerisinde küçük şeylerden de mutlu olabiliriz","Sanmıyorum ","Mavi, siyah , kırmızı ","Sadece kendin istediğin için hayatı doyasıya yaşamak ","Sonsuz olmayan sonsuzluk","Hayır ","Dış görünüşü sert ve güçlü ama içinde naif ve yaşanmışlıklarla dolu bir kadın","Anadolu rock","Mouse","Gelecek, çünkü ilerde yaşayacağım hayatı merak ediyorum "
"2024/10/25 1:47:33 ÖS GMT+3","Birkaç günümüz etkenlerinden dolayı ","Evet ","Siyah,kırmızı","İnsanları veya çevreyi rahatsız etmeden dilediğini yapabilmektir","Yaşanıldığı sürece akan süre","Hayır","İnsan ve hayvan ortak özellikleriyle görünürdü ","Rap- hiphop ","Punisher","Geçmiş"
"2024/10/25 3:23:29 ÖS GMT+3","Yani mutlu olmadıklarını nerden biliyoruz. Ama mutsuz olan kesim için sebepler ekonomik, sevmedikleri işleri yapmaları ya da özgür olmamaları olabilir.","Yakın gelecekte çok mümkün gözükmüyor. Yapay zekanın kendi kendine düşünüp kararlar verebilen çeşidi sanırım generative ai idi. Ama şu an o duruma çok uzaktayız.şu an ki yapay zekalar da elindeki veriler kadar bilgili.Ama ileri zamandaki gelecek için ihtimal olarak gözükebilir. Bu konu ile ilgili de çok fazla teori filmi vardır.","Mavi kullanırım. En sevdiğim renktir. Devamında kırmızı ve siyah olabilir. Ama mavi olmadan olmaz.Huzurlu bir renk benim için.","Özgürlük benim için istediğin zamanda ,istediğin işi ,istediğin yerde yapmaktır.Yer zaman ve finansal olarak özgür bir birey özgürlüğüne kavuşmuştur.","Akış.Domino etkisi. Olayların gerçekleşmesi için geçen süre. Bilemiyorum ","Evet inanıyorum. Ama tanımı insandan insana değiştiğini düşünüyorum. Ama gerçekten güçlü ve güzel bir duygu.","Nedense şu an yorgun bir adam çizmek istedim. Gizemli bir kapüşon ile","Slow Rock","Komedi.","Geçmiş olmuş bitmiş geriye dönmeye gerek yok. Geleceğe gitmek içinde acelem yok. Şu anda kalmayı yeğlerim. Ama seçim yapmak zorunda kalsam geçmiş derdim sanırım."
